time,populationID,neuronID,valueType,value
0.139,94651192725616,0,3,0.565905
0.14,999,0,3,0.445509
0.14,94651192721968,0,3,0.0565302
0.14,94651192725616,0,3,0.563884
0.141,999,0,3,0.43633
0.141,94651192721968,0,3,0.0563287
0.141,94651192725616,0,3,0.56452
0.142,999,0,3,0.426976
0.142,94651192721968,0,3,0.0563921
0.142,94651192725616,0,3,0.565512
0.143,999,0,3,0.417479
0.143,94651192721968,0,3,0.0564909
0.143,94651192725616,0,3,0.55656
0.144,999,0,3,0.407876
0.144,94651192721968,0,3,0.0555986
0.144,94651192725616,0,3,0.561644
0.145,999,0,3,0.398199
0.145,94651192721968,0,3,0.0561054
0.145,94651192725616,0,3,0.559404
0.146,999,0,3,0.388486
0.146,94651192721968,0,3,0.0558821
0.146,94651192725616,0,3,0.558019
0.147,999,0,3,0.378773
0.147,94651192721968,0,3,0.0557441
0.147,94651192725616,0,3,0.547426
0.148,999,0,3,0.369096
0.148,94651192721968,0,3,0.054688
0.148,94651192725616,0,3,0.551761
0.149,999,0,3,0.359493
0.149,94651192721968,0,3,0.0551202
0.149,94651192725616,0,3,0.53954
0.15,999,0,3,0.35
0.15,94651192721968,0,3,0.0539017
0.15,94651192725616,0,3,0.53506
0.151,999,0,3,0.340655
0.151,94651192721968,0,3,0.053455
0.151,94651192725616,0,3,0.528559
0.152,999,0,3,0.331496
0.152,94651192721968,0,3,0.0528067
0.152,94651192725616,0,3,0.528633
0.153,999,0,3,0.322559
0.153,94651192721968,0,3,0.0528141
0.153,94651192725616,0,3,0.514415
0.154,999,0,3,0.313879
0.154,94651192721968,0,3,0.0513962
0.154,94651192725616,0,3,0.510397
0.155,999,0,3,0.305494
0.155,94651192721968,0,3,0.0509954
0.155,94651192725616,0,3,0.498812
0.156,999,0,3,0.297438
0.156,94651192721968,0,3,0.0498399
0.156,94651192725616,0,3,0.501656
0.157,999,0,3,0.289746
0.157,94651192721968,0,3,0.0501235
0.157,94651192725616,0,3,0.487588
0.158,999,0,3,0.282449
0.158,94651192721968,0,3,0.0487202
0.158,94651192725616,0,3,0.489047
0.159,999,0,3,0.275582
0.159,94651192721968,0,3,0.0488657
0.159,94651192725616,0,3,0.474829
0.16,999,0,3,0.269174
0.16,94651192721968,0,3,0.0474472
0.16,94651192725616,0,3,0.459226
0.161,999,0,3,0.263254
0.161,94651192721968,0,3,0.0458904
0.161,94651192725616,0,3,0.456667
0.162,999,0,3,0.257851
0.162,94651192721968,0,3,0.045635
0.162,94651192725616,0,3,0.446541
0.163,999,0,3,0.252992
0.163,94651192721968,0,3,0.0446245
0.163,94651192725616,0,3,0.42984
0.164,999,0,3,0.248699
0.164,94651192721968,0,3,0.0429575
0.164,94651192725616,0,3,0.429059
0.165,999,0,3,0.244996
0.165,94651192721968,0,3,0.0428796
0.165,94651192725616,0,3,0.413213
0.166,999,0,3,0.241905
0.166,94651192721968,0,3,0.0412978
0.166,94651192725616,0,3,0.406955
